"id","site","gender","age_months_t1","age_group_t1","age_months_t2","age_group_t2","cpa_1_t1","cpa_2_t1","cpa_3_rs_t1","cpa_4_t1","cpa_5_rs_t1","cpa_6_t1","cpa_7_t1","cpa_8_t1","cpa_9_t1","cpa_10_t1","cpa_11_rs_t1","cpa_12_t1","cpa_1_v2_t2","cpa_2_t2","cpa_3_rs_t2","cpa_4_t2","cpa_5_v2_t2","cpa_6_t2","cpa_7_t2","cpa_8_t2","cpa_9_t2","cpa_10_t2","cpa_11_rs_t2","cpa_12_t2","language"
"CA_pr1_105_5_g",1,1,60,"5",73,"6",2,2,1,2,1,1,2,2,4,2,3,1,4,2,2,3,3,2,3,3,4,2,3,2,"1"
"CA_pr1_106_4_b",1,0,48,"4",62,"5",1,2,3,3,3,2,3,2,3,3,3,2,3,2,2,3,3,2,2,1,2,3,3,3,"1"
"CA_pr1_108_6_g",1,1,73,"6",86,"7",3,3,3,3,4,2,2,3,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_109_6_g",1,1,75,"6",88,"7",2,3,3,3,4,2,2,3,3,3,2,3,3,4,1,3,2,1,1,3,2,3,1,3,"1"
"CA_pr1_110_4_b",1,0,52,"4",NA,NA,3,NA,4,NA,4,2,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_111_4_b",1,0,58,"5",74,"6",3,2,3,2,4,2,2,3,3,1,1,2,4,2,1,4,4,3,4,4,4,3,3,1,"1"
"CA_pr1_112_3_g",1,1,43,"4",60,"5",3,2,2,3,2,2,2,3,2,NA,1,2,3,2,3,NA,3,3,2,NA,3,4,NA,NA,"1"
"CA_pr1_113_3_b",1,0,44,"4",58,"5",3,1,3,2,3,2,3,2,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_114_4_b",1,0,58,"5",72,"6",4,2,3,3,3,3,1,2,2,3,3,1,2,2,2,2,3,2,1,1,2,3,2,1,"1"
"CA_pr1_116_4_b",1,0,52,"4",64,"5",4,2,1,1,3,2,1,2,2,1,3,1,3,3,2,2,2,2,2,2,2,1,2,1,"1"
"CA_pr1_117_6_b",1,0,72,"6",85,"7",2,3,1,3,4,2,4,4,4,3,3,2,2,3,1,2,2,3,4,4,4,2,3,1,"1"
"CA_pr1_119_4_g",1,1,55,"5",70,"6",3,4,3,4,4,3,2,4,3,3,4,4,4,4,2,3,2,2,2,3,2,3,3,2,"1"
"CA_pr1_120_5_b",1,0,64,"5",77,"6",3,2,3,2,3,2,2,2,2,2,3,NA,2,3,3,3,2,2,1,2,2,2,3,2,"1"
"CA_pr1_121_6_g",1,1,74,"6",89,"7",4,2,3,2,4,3,3,4,3,2,3,1,3,3,4,4,3,1,2,4,2,2,3,1,"1"
"CA_pr1_127_7_g",1,1,89,"6",NA,NA,NA,NA,NA,NA,3,4,2,3,2,NA,NA,2,2,3,2,3,2,2,2,2,3,2,3,2,"1"
"CA_pr1_128_6_b",1,0,72,"6",84,"7",3,2,3,3,2,2,2,3,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_129_6_b",1,0,79,"6",91,"7",4,1,4,2,4,3,4,3,4,3,4,2,3,2,4,2,4,2,3,2,4,2,4,2,"1"
"CA_pr1_131_6_g",1,1,72,"6",85,"7",3,3,2,4,3,2,2,3,4,4,1,1,3,4,1,4,3,2,4,4,4,3,4,1,"1"
"CA_pr1_132_6_g",1,1,74,"6",88,"7",3,2,1,3,2,1,2,3,3,2,NA,1,2,3,1,3,3,1,2,2,2,3,3,2,"1"
"CA_pr1_135_6_g",1,1,81,"6",93,"7",3,3,3,3,4,2,2,4,4,3,4,NA,4,2,2,2,4,3,1,4,2,3,NA,NA,"1"
"CA_pr1_136_5_b",1,0,65,"5",80,"7",4,4,2,3,1,2,3,4,3,2,3,3,3,2,2,3,3,3,4,4,4,4,3,2,"1"
"CA_pr1_137_6_g",1,1,78,"6",91,"7",2,1,4,2,4,1,2,3,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_138_4_g",1,1,58,"5",72,"6",4,NA,1,NA,1,1,2,4,2,NA,3,NA,3,3,1,3,3,1,3,3,3,3,3,3,"1"
"CA_pr1_139_3_g",1,1,43,"4",55,"5",2,1,3,2,3,2,2,3,2,2,2,1,4,2,2,3,3,2,3,3,3,2,3,2,"1"
"CA_pr1_140_4_g",1,1,57,"5",70,"6",4,3,NA,4,1,4,4,4,4,4,2,2,3,3,3,3,3,4,3,3,1,4,4,4,"1"
"CA_pr1_141_4_b",1,0,59,"5",NA,NA,4,2,3,2,3,3,3,3,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_142_6_b",1,0,80,"6",NA,NA,4,2,2,2,2,2,3,3,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_145_5_g",1,1,62,"5",75,"6",4,3,3,2,2,2,2,4,3,2,3,1,2,3,3,3,4,3,2,2,2,2,2,1,"1"
"CA_pr1_146_5_g",1,1,64,"5",79,"7",4,2,1,4,2,2,2,4,2,3,2,3,3,2,1,2,4,3,2,3,3,2,3,1,"1"
"CA_pr1_147_7_b",1,0,84,"6",99,"7",2,NA,2,2,4,3,3,3,4,3,1,2,2,3,4,2,4,2,3,3,4,2,3,2,"1"
"CA_pr1_148_5_b",1,0,62,"5",75,"6",3,4,3,4,3,4,3,4,4,3,3,4,3,3,2,3,3,3,3,3,3,3,4,3,"1"
"CA_pr1_150_7_g",1,1,88,"6",104,"7",4,3,4,3,4,4,3,4,3,4,4,NA,4,3,3,NA,3,3,3,4,4,3,4,NA,"1"
"CA_pr1_151_5_b",1,0,71,"6",87,"7",4,NA,3,3,4,4,1,3,2,NA,4,NA,3,1,2,1,2,2,2,2,2,2,2,1,"1"
"CA_pr1_152_4_b",1,0,55,"5",69,"6",4,2,4,4,2,3,2,4,3,2,2,NA,4,4,4,2,4,2,3,3,4,2,3,2,"1"
"CA_pr1_153_6_b",1,0,81,"6",96,"7",4,3,3,4,4,4,2,3,4,4,4,3,4,2,4,4,4,3,4,3,4,4,4,2,"1"
"CA_pr1_155_5_b",1,0,63,"5",80,"7",2,1,3,1,4,3,3,3,3,1,2,1,3,2,2,1,4,4,4,3,4,2,3,1,"1"
"CA_pr1_156_5_b",1,0,61,"5",75,"6",3,1,1,2,2,2,1,2,3,1,3,1,2,2,1,2,2,1,3,3,3,2,3,1,"1"
