"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"97","CPA_9_t2","|","t1","a9",-3.03756628522188,0.447105054847854,-6.79385359723912,0.0000000000109177111795589,-3.91387609002948,-2.16125648041428,-3.03756628522188,-1.6700066021949
"98","CPA_9_t2","|","t2","",-0.973912944315268,0.195696562021479,-4.97664820605472,0.000000646947456495184,-1.35747115777567,-0.590354730854861,-0.973912944315268,-0.535442158046855
"99","CPA_9_t2","|","t3","",0.88615561368266,0.226722449145267,3.908548169903,0.0000928524354113502,0.441787778871222,1.3305234484941,0.88615561368266,0.487194545390478
"100","CPA_10_t1","|","t1","a10",-1.72681611880341,0.125375609102661,-13.7731424091384,0,-1.9725477971844,-1.48108444042242,-1.72681611880341,-1.32952835603321
"101","CPA_10_t1","|","t2","",-0.141468162976943,0.0826511702514099,-1.71162927937526,0.0869650089715317,-0.303461479949794,0.0205251539959088,-0.141468162976943,-0.108920650036616
"102","CPA_10_t1","|","t3","",1.51030587379739,0.112042475562478,13.4797617262143,0,1.29070665695623,1.72990509063856,1.51030587379739,1.16283052007215
"103","CPA_10_t2","|","t1","a10",-1.72681611880341,0.125375609102661,-13.7731424091384,0,-1.9725477971844,-1.48108444042242,-1.72681611880341,-1.59993865393861
"104","CPA_10_t2","|","t2","",-0.317756322571849,0.111389014788043,-2.85267199082866,0.00433533450466617,-0.536074779829812,-0.0994378653138861,-0.317756322571849,-0.294409241076793
"105","CPA_10_t2","|","t3","",0.966697452515214,0.199685807529212,4.84109243654582,0.00000129127285686259,0.575320461534161,1.35807444349627,0.966697452515214,0.895669552826981
"106","CPA_12_t1","|","t1","a12",-0.709801330052156,0.103730996090746,-6.84271198390122,0.0000000000077706729939564,-0.913110346470483,-0.50649231363383,-0.709801330052156,-0.477538325185638
"107","CPA_12_t1","|","t2","",0.632981719082611,0.101851403866064,6.21475694056205,0.00000000051404147605183,0.433356635730282,0.832606802434941,0.632981719082611,0.425855823602958
"108","CPA_12_t1","|","t3","",2.26433863046803,0.167171239331218,13.5450250864126,0,1.93668902212792,2.59198823880814,2.26433863046803,1.52339595808786
